"coreID","depth","moisture_percent","weoc_g"
"C1","0-5cm",71.19,10.01
"C1","5cm-end",56.16,10
"C3","0-5cm",42.67,5.02
"C3","5cm-end",132.06,9.97
"C4","0-5cm",89,20.31
"C4","5cm-end",29.8,20.42
"C6","0-5cm",51.5,21.06
"C6","5cm-end",67,20.89
"C8","0-5cm",44.93,10.07
"C8","5cm-end",60.32,10.04
"C9","0-5cm",59.57,9.95
"C9","5cm-end",52.71,10.04
"C11","0-5cm",72.23,9.98
"C11","5cm-end",72.41,9.98
"C13","0-5cm",81.6,20.12
"C13","5cm-end",57.4,20.61
"C14","0-5cm",26.58,10.19
"C14","5cm-end",49.28,10
"C15","0-5cm",63.14,10.02
"C15","5cm-end",77.71,10.01
"C16","0-5cm",62.6,20.75
"C16","5cm-end",58.3,20.35
"C18","0-5cm",120.41,10.01
"C18","5cm-end",41.25,10.01
"C20","0-5cm",25.85,10.01
"C20","5cm-end",23.37,10.03
"C25","0-5cm",44.99,10.01
"C25","5cm-end",38.56,10
"C26","0-5cm",49.6,20.02
"C26","5cm-end",59.8,20.83
"C27","0-5cm",50.7,20.93
"C27","5cm-end",280.7,20.95
"C28","0-5cm",49.3,20.84
"C28","5cm-end",51.3,20.27
"C29","0-5cm",26.05,10.01
"C29","5cm-end",23.18,9.97
"C33","0-5cm",34.67,10.01
"C33","5cm-end",31.58,10.1
"C34","0-5cm",55.91,9.98
"C35","0-5cm",44.29,10.07
"C35","5cm-end",40.28,10.15
"C37","0-5cm",78.57,10
"C37","5cm-end",151.22,10.01
"C39","0-5cm",176.9,18.41
"C39","5cm-end",175.5,20.75
"C44","0-5cm",312.9,20.69
"C44","5cm-end",176.6,20.9
"C46","0-5cm",334.78,10.01
"C46","5cm-end",65.57,10.01
"C48","0-5cm",225.81,10
"C48","5cm-end",148.78,10.01
"C49","0-5cm",334.78,10.05
"C49","5cm-end",233.33,10.04
"C50","0-5cm",397.4,20.08
"C50","5cm-end",49.2,20.33
"C52","0-5cm",303.85,10.01
"C52","5cm-end",51.39,10
"C53","0-5cm",544.05,4.99
"C53","5cm-end",366.23,9.98
"C54","0-5cm",669.11,5.03
"C54","5cm-end",600,6.7
"C55","0-5cm",243.4,20.78
"C55","5cm-end",177.4,20.59
"C56","0-5cm",372.2,20.62
"C56","5cm-end",180.2,20.67
"C60","0-5cm",330,19.78
"C60","5cm-end",321.6,20.54
"C61","0-5cm",487.17,4.59
"C61","5cm-end",104.28,9.95
"C62","0-5cm",346.4,20.38
"C62","5cm-end",345.5,20.32
"C64","0-5cm",305.5,9.95
"C64","5cm-end",40.34,10.01
"C65","0-5cm",552.38,4.98
"C65","5cm-end",58.96,10
"C66","0-5cm",552.36,4.99
"C66","5cm-end",50.79,10.03
"C67","0-5cm",792.17,4.96
"C67","5cm-end",126.39,10.03
"C69","0-5cm",253.98,10.02
"C69","5cm-end",25.2,9.98
"C70","0-5cm",16.04,10
"C70","5cm-end",4.13,10
"C71","0-5cm",296.15,10.03
"C71","5cm-end",26.67,10.02
"C72","0-5cm",165.9,20.28
"C72","5cm-end",24,19.78
"C73","0-5cm",65.18,9.97
