"coreID","Site","location","drying","length","saturation","DOC_analysis"
"C0","CPCRW",,,"NA","d+rewet",FALSE
"C1","CPCRW","upland","force-dried","90d","d+rewet",TRUE
"C10","CPCRW","upland","force-dried","1000d","drought",FALSE
"C11","CPCRW","upland","air-dried","90d","d+rewet",TRUE
"C13","CPCRW","upland","air-dried","150d","d+rewet",FALSE
"C14","CPCRW","upland","force-dried","150d","d+rewet",FALSE
"C15","CPCRW","upland","air-dried","90d","d+rewet",TRUE
"C16","CPCRW","upland","force-dried","30d","d+rewet",FALSE
"C17","CPCRW","upland","force-dried","1000d","drought",FALSE
"C18","CPCRW","upland","force-dried","90d","d+rewet",TRUE
"C2","CPCRW","upland","air-dried","1000d","d+rewet",FALSE
"C20","CPCRW","upland","air-dried","30d","d+rewet",TRUE
"C25","CPCRW","upland","air-dried","90d","d+rewet",TRUE
"C26","CPCRW","upland","air-dried","150d","d+rewet",TRUE
"C27","CPCRW","upland","force-dried","30d","d+rewet",TRUE
"C28","CPCRW","upland","air-dried","150d","d+rewet",TRUE
"C29","CPCRW",,,"timezero","timezero",TRUE
"C3","CPCRW","upland","air-dried","30d","d+rewet",TRUE
"C31","CPCRW","upland","air-dried","1000d","d+rewet",FALSE
"C33","CPCRW","upland","force-dried","150d","d+rewet",TRUE
"C34","CPCRW","upland","air-dried","90d","d+rewet",FALSE
"C35","CPCRW","upland","force-dried","150d","d+rewet",TRUE
"C36","CPCRW","upland","force-dried","1000d","d+rewet",FALSE
"C37","CPCRW","upland","force-dried","90d","d+rewet",TRUE
"C38","CPCRW","upland","air-dried","1000d","d+rewet",FALSE
"C39","CPCRW","upland","force-dried","30d","d+rewet",TRUE
"C4","CPCRW","upland","air-dried","150d","d+rewet",TRUE
"C40","CPCRW","upland","force-dried","1000d","d+rewet",FALSE
"C42","CPCRW","lowland","force-dried","1000d","d+rewet",FALSE
"C44","CPCRW","lowland","force-dried","30d","d+rewet",TRUE
"C46","CPCRW","lowland","force-dried","150d","d+rewet",TRUE
"C48","CPCRW","lowland","air-dried","1000d","d+rewet",FALSE
"C49","CPCRW","lowland","force-dried","150d","d+rewet",TRUE
"C5","CPCRW","upland","air-dried","1000d","drought",FALSE
"C50","CPCRW","lowland","force-dried","30d","d+rewet",TRUE
"C51","CPCRW","lowland","air-dried","1000d","drought",FALSE
"C52","CPCRW","lowland","force-dried","90d","d+rewet",TRUE
"C53","CPCRW","lowland","air-dried","90d","d+rewet",TRUE
"C54","CPCRW","lowland","air-dried","30d","d+rewet",FALSE
"C54A","CPCRW","lowland","air-dried","1000d","drought",FALSE
