"","X","coreID","depth","Sample_type"
"1","DOC_001","C55","0-5cm","True Sample"
"2","DOC_005","C46","0-5cm","True Sample"
"3","DOC_007","C28","0-5cm","True Sample"
"4","DOC_013","C65","0-5cm","True Sample"
"5","DOC_014","C66","0-5cm","True Sample"
"6","DOC_016","C50","0-5cm","True Sample"
"7","DOC_017","C44","0-5cm","True Sample"
"8","DOC_018","C56","0-5cm","True Sample"
"9","DOC_020","C3","0-5cm","True Sample"
"10","DOC_028","C71","0-5cm","True Sample"
"11","DOC_030","C52","0-5cm","True Sample"
"12","DOC_040","C49","5cm-end","True Sample"
"13","DOC_041","C46","5cm-end","True Sample"
"14","DOC_042","C79","5cm-end","True Sample"
"15","DOC_049","C65","5cm-end","True Sample"
"16","DOC_050","C66","5cm-end","True Sample"
"17","DOC_051","C69","5cm-end","True Sample"
"18","DOC_052","C50","5cm-end","True Sample"
"19","DOC_053","C44","5cm-end","True Sample"
"20","DOC_054","C56","5cm-end","True Sample"
"21","DOC_061","C61","0-5cm","True Sample"
"22","DOC_063","C53","5cm-end","True Sample"
"23","DOC_066","C52","5cm-end","True Sample"
"24","DOC_099","S18","0-5cm","True Sample"
"25","DOC_102","S87","0-5cm","True Sample"
"26","DOC_103","S65","0-5cm","True Sample"
"27","DOC_112","S14","5cm-end","True Sample"
"28","DOC_122","S16","5cm-end","True Sample"
"29","DOC_131","S25","5cm-end","True Sample"
"30","DOC_141","C78","0-5cm","True Sample"
"31","DOC_146","C83","0-5cm","True Sample"
"32","DOC_147","C78","5cm-end","True Sample"
"33","DOC_149","C84","5cm-end","True Sample"
"34","DOC_150","C70","5cm-end","True Sample"
"35","DOC_151","C80","5cm-end","True Sample"
"36","DOC_161","S32","0-5cm","True Sample"
"37","DOC_162","S21","0-5cm","True Sample"
"38","DOC_166","S24","5cm-end","True Sample"
"39","DOC_168","S45","5cm-end","True Sample"
"40","DOC_171","S95","5cm-end","True Sample"
"41","DOC_174","S21","5cm-end","True Sample"
"42","DOC_177","C67","0-5cm","True Sample"
"43","DOC_178","C73","0-5cm","True Sample"
"44","DOC_179","C81","0-5cm","True Sample"
"45","DOC_182","C73","5cm-end","True Sample"
"46","DOC_215","C54A","0-5cm","True Sample"
"47","DOC_217","C59","0-5cm","True Sample"
